network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
CI,BEL,HH,34.0006,-115.9982,1388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 21:14:42,noise,BEL.CI_20180115211442_NO
NC,BJOB,EH,36.61087,-121.31467,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-23 02:11:00,noise,BJOB.NC_201808230211_NO
EC,ARNL,HH,-3.5478,-80.067001,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 07:09:06,noise,ARNL.EC_20180115070906_NO
HP,AMT,HH,37.5324,21.7089,482.0,400.0,manual,0.5,15.899999618530272,1540.0,manual,0.5,13279124,2009-06-25 20:08:22.10,0.49,36.761,21.5099,1.4757,45.797,4.61868,20.31,,4.2,mb,,,0.79,87.42,11.6,[57.09999847 53.59999847 62.59999847],[[5716.]],2009-06-25 20:08:34,earthquake_local,AMT.HP_20090625200833_EV
KZ,AKTO,BH,50.434799,58.016399,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 04:05:00,noise,AKTO.KZ_20180116040500_NO
IU,ADK,BH,51.8823,-176.6842,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 21:23:48,noise,ADK.IU_20180116212348_NO
PB,B901,EH,35.6897,-120.142,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-09-05 21:37:00,noise,B901.PB_200809052137_NO
CI,ADO,HH,34.550461,-117.433907,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 22:03:00,noise,ADO.CI_20180115220300_NO
HV,ALEP,EH,19.541178,-155.644036,2894.0,900.0,manual,0.59,6.75,1372.0,manual,0.59,hv70027507,2018-02-02 21:06:02.380000,,19.835,-155.58083,,,,23.39,,1.82,md,,,0.2983,33.19,11.5,[14.89999962 15.5        14.5       ],[[3199.]],2018-02-02 21:06:00.130000,earthquake_local,ALEP.HV_20180202210559_EV
ZQ,AAM2,HH,-26.473,27.491,1555.2,1124.7,autopicker,0.92,3.559999942779541,1255.7,autopicker,0.56,41845,2009-05-22 10:24:17.000,0.95,-26.418,27.45,0.4,117.0,1.9,2.0,,2.2,ml,,,0.0661,7.34,326.1277,[46.79999924  1.29999995 48.79999924],[[2773.]],2009-05-22 10:24:09.313000,earthquake_local,AAM2.ZQ_20090522102408_EV
CO,BIRD,HH,34.645,-80.4615,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 21:28:00,noise,BIRD.CO_20180116212800_NO
PB,B078,EH,35.8377,-120.3452,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-02 14:25:00,noise,B078.PB_201612021425_NO
LD,BRNY,HH,41.414036,-74.011889,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 20:09:36,noise,BRNY.LD_20180115200936_NO
C1,AP01,HH,-18.3708,-70.3419,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-20 22:39:00,noise,AP01.C1_201710202239_NO
AK,BRLK,BH,59.751099,-150.906296,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 03:02:42,noise,BRLK.AK_20180115030242_NO
5H,BEAV,HH,37.998402,-77.999298,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 06:36:54,noise,BEAV.5H_20180115063654_NO
C1,AC01,HH,-26.1479,-70.5987,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-19 04:23:00,noise,AC01.C1_201809190423_NO
AV,AKBB,BH,54.0975,-165.9338,310.0,800.0,manual,0.32,21.82999992370605,2691.0,manual,0.57,us1000drx7,2018-04-25 10:42:23.830000,2.41,54.0266,-163.6284,1.19,154.0,6.346,40.69,9.8,4.2,mb,,,1.36081,151.05,93.926,[35.59999847 38.29999924 40.09999847],[[4920.]],2018-04-25 10:42:37.660000,earthquake_local,AKBB.AV_20180425104237_EV
PB,B011,EH,48.649543,-123.448192,22.0,900.0,manual,0.95,7.739999771118164,1467.0,manual,0.0,uw10821738,2011-03-15 22:02:22.360000,,48.4458333,-122.8691667,0.22,81.0,0.5,14.42,1.89,1.5,md,UW,,0.4354,48.38,118.2,[32.         34.         29.89999962],[[2606.]],2011-03-15 22:02:21.100000,earthquake_local,B011.PB_20110315220220_EV
HV,AIND,HH,19.372067,-155.457228,1524.0,600.0,manual,0.66,5.699999809265137,1024.0,manual,0.54,hv61825626,2017-07-06 18:59:31.860000,,19.49783,-155.6995,,,,12.75,,1.08,md,,,0.2606,29.0,298.8,[9.10000038 7.5999999  3.70000005],[[2896.]],2017-07-06 18:59:31.560000,earthquake_local,AIND.HV_20170706185930_EV
TA,154A,BH,32.6131,-83.1066,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-05 12:55:00,noise,154A.TA_201205051255_NO
C1,AC02,HH,-26.8355,-69.1291,3980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-23 11:52:00,noise,AC02.C1_201710231152_NO
PB,B045,EH,40.436,-123.9965,29.4,500.0,manual,0.68,7.019999980926514,1030.0,manual,0.0,nc72736540,2016-12-13 06:32:39.900000,,40.25833,-124.33083,,,,20.96,,2.21,md,,,0.3108,34.58,235.0,[51.59999847 45.59999847 46.90000153],[[1607.]],2016-12-13 06:32:41.920000,earthquake_local,B045.PB_20161213063240_EV
HV,AHUD,EH,19.371567,-155.263462,1051.0,901.0,autopicker,0.94,1.1699999570846558,984.0,autopicker,0.84,hv70099921,2018-04-29 23:40:30.760000,,19.3805,-155.242,,,,1.7,,2.22,ml,,,0.02212,2.46,67.0,[33.20000076 35.09999847 43.5       ],[[2134.]],2018-04-29 23:40:22.920000,earthquake_local,AHUD.HV_20180429234021_EV
PB,B058,EH,36.7995,-121.5808,114.2,800.0,manual,0.58,4.519999980926514,1167.0,autopicker,0.69,nc71717135,2012-01-24 14:24:15.160000,,36.7773333,-121.3308333,0.05,100.0,0.4,3.74,1.04,0.41,md,NC,,0.2018,22.45,96.3,[9.89999962 8.89999962 6.19999981],[[3068.]],2012-01-24 14:24:11.680000,earthquake_local,B058.PB_20120124142410_EV
KZ,ABKAR,BH,49.2556,59.9431,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-11 05:06:00,noise,ABKAR.KZ_201303110506_NO
PB,B067,EH,36.765,-121.5655,126.2,500.0,manual,0.61,5.309999942779541,880.0,manual,0.61,nc72132561,2013-12-29 15:39:11.330000,,36.65167,-121.26717,,,,6.79,,0.7,md,,,0.2649,29.47,115.4,[14.89999962 14.39999962 14.30000019],[[2520.]],2013-12-29 15:39:11.640000,earthquake_local,B067.PB_20131229153910_EV
AV,AU22,BH,59.3702,-153.3573,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-12 01:12:00,noise,AU22.AV_201805120112_NO
NC,BPRB,HN,36.40721,-121.73067,738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11 10:43:00,noise,BPRB.NC_201808111043_NO
GM,AA12,HH,39.53523,-121.4669,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-01 05:36:00,noise,AA12.GM_201806010536_NO
GM,AA12,HH,39.53523,-121.4669,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-09 09:31:00,noise,AA12.GM_201705090931_NO
PB,B046,EH,40.32197,-124.2843,44.0,800.0,manual,0.68,3.299999952316284,1099.0,manual,0.59,nc71596680,2011-07-06 16:49:32.220000,,40.2916667,-124.294,0.18,179.0,0.92,17.56,0.58,2.38,md,NC,,0.03153,3.46,193.7,[55.5        54.20000076 55.20000076],[[1591.]],2011-07-06 16:49:27.520000,earthquake_local,B046.PB_20110706164926_EV
AV,AKSA,BH,54.1095,-165.6987,213.0,900.0,manual,0.32,15.720000267028809,2261.0,manual,0.72,us1000e4d7,2018-05-09 14:16:00.020000,2.17,53.8846,-164.1842,1.07,189.0,,38.89,,3.3,mb,,,0.92212,102.36,104.758,[42.         35.29999924 32.20000076],[[3836.]],2018-05-09 14:16:06.740000,earthquake_local,AKSA.AV_20180509141606_EV
AV,ANON,EH,56.919,-158.1737,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 11:58:54,noise,ANON.AV_20180115115854_NO
FR,ATE,HH,43.0858,-0.7003,480.0,900.0,manual,0.5,3.0199999809265137,1026.0,manual,0.5,603054801,2013-06-07 10:07:17.61,0.76,43.1371,-0.595,2.309,47.915,2.51579,17.1,,4.7,mb,,,0.09,10.29,236.4,[89.69999695 80.69999695 89.19999695],[[2304.]],2013-06-07 10:07:11.630000,earthquake_local,ATE.FR_20130607100710_EV
AK,BCP,BH,59.9534,-139.636902,421.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 00:18:54,noise,BCP.AK_20180115001854_NO
AE,113A,HH,32.7683,-113.7667,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-08 11:50:00,noise,113A.AE_201709081150_NO
CN,A64,HH,47.8274,-69.8914,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 22:12:48,noise,A64.CN_20180115221248_NO
PB,B065,EH,36.743667,-121.474167,643.0,700.0,manual,0.64,2.319999933242798,865.0,manual,0.53,nc72407290,2015-03-08 06:01:27.070000,,36.74817,-121.36567,,,,9.58,,1.42,md,,,0.08739,9.7,87.0,[43.09999847 47.5        42.90000153],[[1325.]],2015-03-08 06:01:22.390000,earthquake_local,B065.PB_20150308060121_EV
TA,109C,HH,32.8889,-117.1051,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-26 07:31:00,noise,109C.TA_201602260731_NO
KR,ARLS,BH,41.85444,74.32889,1526.0,800.0,manual,0.5,38.11000061035156,4028.0,autopicker,0.61,606722786,2015-02-09 19:35:23.59,0.86,42.9265,76.9677,1.0875,56.5,2.52645,12.89,,3.8,mb,,,2.23,247.76,242.4,[39.20000076 41.70000076 35.79999924],[[5900.]],2015-02-09 19:35:53.700000,earthquake_local,ARLS.KR_20150209193552_EV
C1,AF01,HH,-22.95196,-68.17876,2442.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 22:54:48,noise,AF01.C1_20180116225448_NO
AK,ANM,BH,64.5646,-165.3732,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-09 08:59:00,noise,ANM.AK_201603090859_NO
PB,B065,EH,36.743667,-121.474167,643.0,400.0,manual,0.57,2.700000047683716,596.0,autopicker,0.86,nc71582035,2011-06-08 17:09:00.580000,,36.7618333,-121.3556667,0.43,104.0,1.64,4.87,3.04,0.66,md,NC,,0.0964,10.77,79.2,[17.20000076 22.39999962 17.5       ],[[1136.]],2011-06-08 17:08:59.280000,earthquake_local,B065.PB_20110608170858_EV
C1,AP01,HH,-18.3708,-70.3419,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 23:06:00,noise,AP01.C1_20180116230600_NO
PB,B047,EH,40.25047,-124.17133,80.0,800.0,manual,0.55,7.619999885559082,1386.0,manual,0.62,nc72270155,2014-08-08 05:02:30.420000,,40.5915,-124.08983,,,,17.39,,1.8,md,,,0.3468,38.5,10.3,[34.90000153 30.29999924 33.79999924],[[1975.]],2014-08-08 05:02:30.040000,earthquake_local,B047.PB_20140808050229_EV
PB,B028,EH,44.493667,-122.963833,140.0,400.0,manual,1.0,4.409999847412109,720.0,manual,0.91,uw61123327,2016-04-05 01:10:18.250000,,44.4832,-122.7112,,78.0,,12.6,0.88,1.94,md,,[[ 65.  85. -80.]],0.1811,20.13,93.4,[45.         47.70000076 41.79999924],[[1467.]],2016-04-05 01:10:18.660000,earthquake_local,B028.PB_20160405011017_EV
SN,AMD,EH,36.4526,-116.2818,775.4,400.0,manual,0.95,3.384079933166504,1125.281,manual,0.0,nn00409674,2013-04-06 15:13:21.700000,,36.2852,-116.2767,0.1288,290.75,0.0,4.6,10.8,0.1,ml,NN,,0.168,18.58,178.59,[34.         35.59999847 36.09999847],[[1965.]],2013-04-06 15:13:21.084080,earthquake_local,AMD.SN_20130406151320_EV
CI,ADO,HH,34.550461,-117.433907,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 15:17:00,noise,ADO.CI_20180116151700_NO
II,AAK,BH,42.6375,74.4942,1633.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 22:16:18,noise,AAK.II_20180115221618_NO
7F,ARK1,EH,35.266602,-92.403503,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-24 03:59:24,noise,ARK1.7F_20100724035924_NO
ZQ,AAM3,HH,-26.374,27.416,1597.1,1296.9,autopicker,0.92,4.699999809265137,1395.9,autopicker,0.76,369453,2007-03-14 17:04:53.400,1.57,-26.369,27.453,0.6,128.0,3.3,2.0,,2.2,ml,,,0.0336,3.73,81.4746,[52.79999924 49.70000076 50.79999924],[[2989.]],2007-03-14 17:04:45.131000,earthquake_local,AAM3.ZQ_20070314170444_EV
CN,BMTB,HH,56.0451,-122.1332,1099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 07:49:00,noise,BMTB.CN_20180115074900_NO
7F,ARK2,EH,35.334099,-92.298203,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-26 07:36:24,noise,ARK2.7F_20100726073624_NO
EC,ANTS,HH,-0.4973,-78.170403,4580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 15:03:42,noise,ANTS.EC_20180115150342_NO
HT,AGG,HH,39.0211,22.336,625.0,900.0,manual,0.5,31.799999237060547,3535.0,autopicker,0.57,604014828,2014-01-29 21:43:53.64,0.62,38.2305,20.4166,1.4898,59.108,3.53306,14.22,,4.0,mb,,,1.69,188.78,61.6,[36.20000076 38.40000153 37.29999924],[[5900.]],2014-01-29 21:44:16.440000,earthquake_local,AGG.HT_20140129214415_EV
AV,AUCH,BH,59.3626,-153.4447,916.0,800.0,manual,0.5,19.149999618530277,1993.0,autopicker,0.65,605544876,2014-10-14 18:32:45.47,1.39,59.9311,-152.9707,1.1198,78.504,7.31618,117.78,,3.6,ml,,,0.62,68.74,203.1,[15.10000038  6.9000001  12.        ],[[3199.]],2014-10-14 18:32:56.620000,earthquake_local,AUCH.AV_20141014183255_EV
CI,ARV,HH,35.1269,-118.83009,258.0,900.0,manual,0.62,4.820000171661377,1230.0,manual,0.56,ci37151119,2015-04-24 14:53:16.530000,,34.90883,-118.72817,,,,7.11,,1.27,ml,,,0.2331,25.92,159.1,[10.80000019  8.89999962 12.89999962],[[3120.]],2015-04-24 14:53:12.350000,earthquake_local,ARV.CI_20150424145311_EV
PB,B054,EH,37.8602,-122.1995,405.6,500.0,manual,0.85,2.3299999237060547,694.0,manual,0.57,nc71477466,2010-10-22 09:52:19.060000,,37.7871667,-122.1538333,0.08,36.0,0.2,7.0,0.45,0.8,md,NC,,0.08198,9.05,153.7,[24.10000038 26.39999962 22.        ],[[1161.]],2010-10-22 09:52:16.390000,earthquake_local,B054.PB_20101022095215_EV
C1,BO03,HH,-34.49605,-71.9612,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 07:17:30,noise,BO03.C1_20180115071730_NO
AV,AKHS,BH,54.1533,-165.8868,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-10 12:55:00,noise,AKHS.AV_201809101255_NO
AE,BABIT,HH,35.745548,-112.422218,1693.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 19:03:06,noise,BABIT.AE_20180116190306_NO
HV,AIND,HH,19.372067,-155.457228,1524.0,800.0,autopicker,0.93,6.179999828338623,1264.0,autopicker,0.81,hv61078141,2015-10-25 20:48:44.430000,,19.21567,-155.44484,,,,36.72,,1.89,md,,,0.156,17.36,176.0,[25.20000076 20.5        21.10000038],[[2126.]],2015-10-25 20:48:42.610000,earthquake_local,AIND.HV_20151025204841_EV
HV,AHUD,EH,19.371567,-155.263462,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-19 04:12:00,noise,AHUD.HV_201108190412_NO
AV,ANON,EH,56.919,-158.1737,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 16:37:30,noise,ANON.AV_20180116163730_NO
TA,A21K,BH,71.3221,-156.6175,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-18 22:27:00,noise,A21K.TA_201702182227_NO
AT,AKUT,BH,54.13517,-165.77185,19.2,500.0,manual,0.5,16.940000534057617,1527.0,manual,0.5,601479682,2012-07-02 05:49:24.33,1.62,53.4122,-165.3857,1.6218,158.394,,9.02,,4.2,mb,,,0.76,84.4,342.6,[51.70000076 50.29999924 56.40000153],[[5008.]],2012-07-02 05:49:36.270000,earthquake_local,AKUT.AT_20120702054935_EV
CI,ADO,HH,34.550461,-117.433907,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 18:35:48,noise,ADO.CI_20180115183548_NO
LD,ACCN,HH,43.3843,-73.6678,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-17 08:25:00,noise,ACCN.LD_201709170825_NO
II,ABPO,BH,-19.018,47.229,1528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 11:58:54,noise,ABPO.II_20180116115854_NO
ZQ,AAM1,HH,-26.427,27.423,1169.9,1195.6,autopicker,0.92,4.730000019073486,1254.6,autopicker,0.78,425322,2008-04-09 11:15:48.900,1.16,-26.425,27.322,0.4,124.0,3.7,2.0,,1.9,ml,,,0.0908,10.08,271.2375,[36.  35.5 33.5],[[2627.]],2008-04-09 11:15:41.674000,earthquake_local,AAM1.ZQ_20080409111540_EV
PB,B065,EH,36.743667,-121.474167,643.0,400.0,manual,0.76,4.309999942779541,723.0,manual,0.55,nc72932425,2017-11-30 03:01:19.520000,,36.63133,-121.24433,,,,5.93,,1.94,md,,,0.2161,24.03,121.4,[51.29999924 47.         41.79999924],[[1524.]],2017-11-30 03:01:19.830000,earthquake_local,B065.PB_20171130030118_EV
PB,B082,HN,33.59818,-116.59601,1374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-10 07:42:00,noise,B082.PB_201402100742_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,702.0,autopicker,0.93,8.430000305175781,1325.0,autopicker,0.96,hv60949151,2015-05-30 06:54:17.770000,,19.02483,-155.49333,,,,39.66,,2.33,ml,,,0.4076,45.36,212.0,[24.70000076 21.70000076 29.70000076],[[2277.]],2015-05-30 06:54:19.180000,earthquake_local,AHUD.HV_20150530065418_EV
HT,ALN,HH,40.885,26.046,110.0,600.0,manual,0.5,9.630000114440918,1309.0,autopicker,0.55,13839765,2009-05-16 14:25:28.47,1.08,40.611,25.5587,0.4096,173.067,8.55838,15.14,,2.7,md,,,0.47,51.18,52.1,[44.79999924 42.09999847 38.29999924],[[2974.]],2009-05-16 14:25:32.100000,earthquake_local,ALN.HT_20090516142531_EV
PB,B049,EH,40.2375,-123.8197,117.0,400.0,manual,0.68,5.519999980926514,849.0,manual,0.59,nc71889651,2012-11-19 20:04:45.340000,,40.3493333,-123.6231667,0.14,44.0,0.43,23.95,0.78,2.05,md,NC,,0.1874,20.82,53.3,[50.79999924 55.         44.59999847],[[1369.]],2012-11-19 20:04:46.860000,earthquake_local,B049.PB_20121119200445_EV
HV,ALEP,EH,19.541178,-155.644036,2894.0,901.0,autopicker,0.92,7.96999979019165,1495.0,autopicker,0.61,hv61827421,2017-07-08 08:12:15.730000,,19.19933,-155.41966,,,,33.8,,2.12,md,,,0.4006,44.58,149.0,[36.40000153 35.40000153 37.09999847],[[2609.]],2017-07-08 08:12:14.690000,earthquake_local,ALEP.HV_20170708081213_EV
PB,B058,EH,36.7995,-121.5808,114.2,700.0,manual,0.65,1.25,791.0,manual,0.53,nc72995501,2018-04-05 05:10:57.480000,,36.841,-121.56383,,,,3.7,,0.64,md,,,0.0436,4.85,18.1,[40.70000076 42.         38.09999847],[[1764.]],2018-04-05 05:10:51.730000,earthquake_local,B058.PB_20180405051050_EV
PB,B065,EH,36.743667,-121.474167,643.0,900.0,manual,0.51,10.010000228881836,1603.0,autopicker,0.55,nc72243161,2014-06-25 07:35:37.580000,,36.42233,-120.99,,,,1.07,,1.17,md,,,0.5054,56.12,129.6,[ 9.60000038 12.60000038  8.80000019],[[3199.]],2014-06-25 07:35:38.590000,earthquake_local,B065.PB_20140625073537_EV
AV,AUSB,BH,59.333,-153.4284,230.0,495.0,autopicker,0.72,15.147000312805176,1692.0,autopicker,0.67,ak18701096,2018-03-16 23:45:29.463000,,59.0442,-151.9047,,,,55.0,,2.0,ml,,,0.832,92.85,110.96,[22.70000076 21.60000038 23.70000076],[[3060.]],2018-03-16 23:45:39.660000,earthquake_local,AUSB.AV_20180316234538_EV
HV,AHUD,EH,19.371567,-155.263462,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-24 22:24:00,noise,AHUD.HV_201111242224_NO
PB,B075,EH,35.9292,-120.5153,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-24 04:07:00,noise,B075.PB_201407240407_NO
AE,BARN,HH,35.27668,-111.73571,2254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 17:07:36,noise,BARN.AE_20180115170736_NO
AV,AKV,BH,54.1253,-165.9647,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-10 01:20:00,noise,AKV.AV_201702100120_NO
PB,B058,EH,36.7995,-121.5808,114.2,600.0,manual,0.6,6.849999904632568,1119.0,manual,0.0,nc72456371,2015-05-27 16:34:08.710000,,36.59517,-121.20567,,,,8.59,,2.42,md,,,0.364,40.47,124.2,[37.90000153 39.79999924 36.79999924],[[2348.]],2015-05-27 16:34:09.560000,earthquake_local,B058.PB_20150527163408_EV
C1,AC04,HH,-28.2046,-71.0739,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-24 11:35:00,noise,AC04.C1_201501241135_NO
C1,AC04,HH,-28.2046,-71.0739,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 19:59:06,noise,AC04.C1_20180116195906_NO
HT,ALN,HH,40.895699,26.0497,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 07:53:12,noise,ALN.HT_20180115075312_NO
AV,AUCH,BH,59.3626,-153.4447,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 08:38:00,noise,AUCH.AV_20180115083800_NO
KR,ARSB,BH,41.32333,72.98111,1378.0,400.0,manual,0.5,15.670000076293944,1408.0,autopicker,0.6,605653998,2014-11-08 07:06:19.83,1.23,40.6623,73.2861,1.7633,172.834,4.85792,1.68,,4.1,mb,,,0.7,77.77,340.9,[37.70000076 42.29999924 42.79999924],[[3199.]],2014-11-08 07:06:31.500000,earthquake_local,ARSB.KR_20141108070630_EV
US,AHID,BH,42.7654,-111.1004,1960.0,800.0,manual,0.5,44.40999984741211,5060.0,autopicker,0.83,610575025,2015-01-04 06:35:23.10,0.83,44.4464,-114.1278,1.0802,31.556,5.35441,6.0,,3.6,ml,,,2.77,307.57,126.3,[29.60000038 31.10000038 29.20000076],[[5900.]],2015-01-04 06:35:59.510000,earthquake_local,AHID.US_20150104063558_EV
PB,B066,EH,36.857533,-121.592167,67.0,600.0,manual,0.61,3.490000009536743,905.0,manual,0.0,nc72143400,2014-01-19 22:47:48.950000,0.87,36.9848,-121.4758,0.886,19.227,2.63831,11.58,0.26,3.1,ml,,,0.1613,17.9,38.8,[60.         57.         56.90000153],[[1613.]],2014-01-19 22:47:46.440000,earthquake_local,B066.PB_20140119224746_EV
C1,AC06,HH,-27.357117,-70.354689,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 18:56:48,noise,AC06.C1_20180115185648_NO
EC,ANTS,HH,-0.4973,-78.170403,4580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 12:01:42,noise,ANTS.EC_20180116120142_NO
HV,AIND,HH,19.372067,-155.457228,1524.0,400.0,manual,0.6,4.400000095367432,764.0,manual,0.0,hv61468651,2016-11-05 04:31:55.480000,,19.40583,-155.29567,,,,1.34,,2.04,ml,,,0.1562,17.38,77.5,[ 7.5999999  14.19999981  0.5       ],[[2256.]],2016-11-05 04:31:55.880000,earthquake_local,AIND.HV_20161105043154_EV
C1,AC04,HH,-28.2046,-71.0739,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 09:37:30,noise,AC04.C1_20180116093730_NO
AV,ACH,BH,58.21,-155.3281,960.0,799.2,autopicker,0.9,1.784999966621399,952.2,autopicker,0.8,ak17403412,2017-11-29 22:08:54.035000,,58.225,-155.1451,,,,1.0,,0.2,ml,,,0.098,10.88,81.23,[12.39999962 12.19999981  7.4000001 ],[[2210.]],2017-11-29 22:08:47.828000,earthquake_local,ACH.AV_20171129220846_EV
MI,ANA2,BH,16.3412,145.7115,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-26 13:04:00,noise,ANA2.MI_201301261304_NO
PB,B040,EH,41.8308,-122.4205,819.5,900.0,manual,0.85,7.329999923706055,1442.0,manual,0.83,uw60606277,2013-10-06 02:46:14.840000,,42.11283,-122.703,,,,16.52,,1.1,md,,,0.3519,39.11,323.2,[19.29999924 22.39999962 19.5       ],[[2106.]],2013-10-06 02:46:13.170000,earthquake_local,B040.PB_20131006024612_EV
PB,B011,EH,48.649543,-123.448192,22.0,500.0,manual,0.89,10.539999961853027,1304.0,manual,0.87,uw61102601,2015-11-07 11:48:27.400000,,49.22517,-123.64867,,,,13.84,,2.24,ml,,,0.5911,65.68,347.0,[34.79999924 39.79999924 35.5       ],[[2677.]],2015-11-07 11:48:32.940000,earthquake_local,B011.PB_20151107114831_EV
AV,AKS,EH,54.1095,-165.6987,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 10:27:54,noise,AKS.AV_20180115102754_NO
N4,ABTX,HH,32.6238,-99.6431,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-26 02:27:00,noise,ABTX.N4_201808260227_NO
PB,B058,EH,36.7995,-121.5808,114.2,900.0,manual,0.53,3.259999990463257,1143.0,manual,0.0,nc71529955,2011-02-28 15:36:16.120000,,36.775,-121.4045,0.12,108.0,0.4,9.68,0.65,0.76,md,NC,,0.1432,15.97,99.8,[23.60000038 23.10000038 18.70000076],[[2005.]],2011-02-28 15:36:10.380000,earthquake_local,B058.PB_20110228153609_EV
PB,B065,EH,36.743667,-121.474167,643.0,400.0,manual,0.6,3.609999895095825,689.0,manual,0.6,nc72132646,2013-12-29 19:45:02.880000,,36.63283,-121.32783,,,,12.18,,1.6,md,,,0.1613,17.95,133.4,[45.20000076 47.29999924 43.29999924],[[1233.]],2013-12-29 19:45:02.490000,earthquake_local,B065.PB_20131229194501_EV
HV,AIND,HH,19.372067,-155.457228,1524.0,501.0,autopicker,0.93,2.259999990463257,692.0,autopicker,0.78,hv60900431,2015-04-23 01:25:23.640000,,19.3565,-155.498,,,,7.46,,1.29,md,,,0.04149,4.62,248.0,[34.90000153 25.89999962 28.70000076],[[1233.]],2015-04-23 01:25:20.890000,earthquake_local,AIND.HV_20150423012519_EV
